Systime,Date,Time,Eng1 Oil Temperature,Eng1 Oil Pressure,Eng1 RPM,Eng1 Manifold Pressure (In.Hg),Eng1 TIT (°F),Eng1 CHT[1] (°F),Eng1 CHT[2] (°F),Eng1 CHT[3] (°F),Eng1 CHT[4] (°F),Eng1 CHT[5] (°F),Eng1 CHT[6] (°F),Eng1 EGT[1] (°F),Eng1 EGT[2] (°F),Eng1 EGT[3] (°F),Eng1 EGT[4] (°F),Eng1 EGT[5] (°F),Eng1 EGT[6] (°F),Eng1 Percent Pwr   ,FuelFlow,FuelUsed,FuelRemaining,FuelTimeRemaining (min),FuelEconomy,Eng1 Alt1 current (A),Eng1 Alt2 current (A),Eng1 Bat current (A),Eng1 Bat2 current (A),Eng1 MBus1 Volts,Eng1 MBus2 Volts,Eng1 Bus2 Volts,L Fuel Qty,R Fuel Qty,DeiceVac (in-hg),Rudder Trim (deg),Flaps (deg),Ng (%),Torque(ft-lbs),ITT (°C),Np (rpm),Eng1 Discrete Inputs,Eng1 Discrete Outputs
69732254,20170224,19:22:12,<<<< **** POWER ON **** >>>>
69732645,20170224,19:22:12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69736605,20170224,19:22:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69740565,20170224,19:22:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69744525,20170224,19:22:24,-,67,1000,14.10,-,-,-,-,-,-,-,948.0,850.0,905.0,820.0,996.0,986.0,8.4,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69748485,20170224,19:22:28,-,67,1000,14.10,-,-,-,-,-,-,-,954.0,859.0,916.0,830.0,999.0,997.0,8.4,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69752445,20170224,19:22:32,-,67,1000,14.10,-,-,-,-,-,-,-,956.0,874.0,918.0,839.0,1006.0,1008.0,8.4,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69756405,20170224,19:22:36,-,67,1000,14.10,-,-,-,-,-,-,-,960.0,882.0,923.0,849.0,1006.0,1014.0,8.4,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69760365,20170224,19:22:40,-,67,1010,14.00,-,-,-,-,-,-,102.0,966.0,890.0,933.0,856.0,1004.0,1023.0,8.4,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69764325,20170224,19:22:44,-,67,1020,14.00,-,-,-,-,-,-,105.0,970.0,900.0,940.0,863.0,1008.0,1029.0,8.3,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69768285,20170224,19:22:48,-,68,1110,14.30,-,-,-,-,-,-,108.0,992.0,920.0,962.0,880.0,1038.0,1045.0,10.3,2.8,0.0,57.5,-,-,-,-,-,-,27.8,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69772245,20170224,19:22:52,-,68,1120,14.19,-,-,-,-,-,102.0,112.0,1009.0,938.0,984.0,895.0,1062.0,1055.0,10.2,2.9,0.0,57.5,-,-,-,-,-,-,27.8,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69776205,20170224,19:22:56,-,67,1120,14.30,-,-,-,-,-,105.0,115.0,1025.0,948.0,995.0,907.0,1072.0,1064.0,10.2,2.8,0.0,57.5,-,-,-,-,-,-,27.8,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69780165,20170224,19:23:00,-,69,1240,15.00,-,-,101.0,-,-,109.0,118.0,1044.0,978.0,1018.0,934.0,1097.0,1087.0,12.2,3.4,0.0,57.5,-,-,-,-,-,-,27.8,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69784125,20170224,19:23:04,-,69,1240,14.89,-,-,104.0,-,101.0,112.0,122.0,1048.0,1002.0,1035.0,957.0,1114.0,1100.0,12.3,3.4,0.0,57.5,-,-,-,-,-,-,27.8,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69788085,20170224,19:23:08,-,66,1020,13.80,-,101.0,107.0,102.0,104.0,115.0,125.0,1020.0,981.0,1004.0,949.0,1093.0,1094.0,8.4,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69792045,20170224,19:23:12,-,66,1020,13.80,-,105.0,110.0,105.0,107.0,118.0,128.0,995.0,959.0,978.0,937.0,1077.0,1093.0,8.4,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69796005,20170224,19:23:16,-,66,1020,13.80,-,108.0,113.0,108.0,110.0,120.0,131.0,980.0,950.0,962.0,933.0,1061.0,1098.0,8.4,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69799965,20170224,19:23:19,-,67,1020,13.80,-,111.0,116.0,111.0,112.0,123.0,134.0,980.0,944.0,959.0,928.0,1056.0,1089.0,8.4,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69803925,20170224,19:23:23,-,67,1020,13.80,-,113.0,119.0,114.0,115.0,126.0,137.0,993.0,940.0,968.0,920.0,1067.0,1071.0,8.4,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.1,-,-,-,-,-,-,-,-,-,-,-
69807885,20170224,19:23:27,-,68,1020,13.89,-,117.0,121.0,117.0,117.0,128.0,140.0,994.0,941.0,979.0,920.0,1080.0,1065.0,8.3,2.4,0.0,57.5,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69811845,20170224,19:23:31,-,68,1030,13.80,-,120.0,124.0,120.0,120.0,131.0,142.0,988.0,941.0,976.0,921.0,1071.0,1067.0,8.3,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69815805,20170224,19:23:35,-,68,1030,13.80,-,122.0,126.0,122.0,122.0,133.0,145.0,986.0,943.0,974.0,924.0,1066.0,1070.0,8.3,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69819765,20170224,19:23:39,-,68,1040,13.80,-,125.0,129.0,125.0,124.0,135.0,148.0,985.0,946.0,973.0,924.0,1064.0,1068.0,8.2,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69823725,20170224,19:23:43,-,68,1040,13.69,-,128.0,131.0,128.0,127.0,138.0,150.0,985.0,946.0,973.0,924.0,1060.0,1068.0,8.2,2.5,0.0,57.5,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69827685,20170224,19:23:47,-,68,1040,13.69,-,130.0,133.0,131.0,129.0,140.0,153.0,992.0,944.0,970.0,930.0,1057.0,1067.0,9.4,2.5,0.1,57.4,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69831645,20170224,19:23:51,-,68,1050,13.60,-,133.0,136.0,131.0,131.0,142.0,155.0,993.0,950.0,967.0,930.0,1053.0,1067.0,9.3,2.5,0.1,57.4,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69835605,20170224,19:23:55,-,68,1050,13.69,-,136.0,138.0,136.0,133.0,144.0,158.0,992.0,953.0,971.0,933.0,1060.0,1069.0,8.4,2.5,0.1,57.4,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69839565,20170224,19:23:59,-,67,1000,14.10,-,138.0,140.0,138.0,135.0,146.0,160.0,1030.0,945.0,1000.0,933.0,1093.0,1053.0,0.0,2.4,0.1,57.4,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69843525,20170224,19:24:03,-,67,1020,14.10,-,141.0,142.0,141.0,137.0,148.0,162.0,1050.0,951.0,1023.0,937.0,1125.0,1053.0,0.0,2.4,0.1,57.4,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69847485,20170224,19:24:07,-,68,1040,13.89,-,143.0,144.0,143.0,139.0,150.0,164.0,1048.0,950.0,1028.0,937.0,1143.0,1061.0,0.0,2.5,0.1,57.4,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69851445,20170224,19:24:11,-,68,1060,13.80,-,145.0,146.0,145.0,141.0,152.0,167.0,1041.0,960.0,1023.0,940.0,1148.0,1073.0,0.0,2.5,0.1,57.4,-,-,-,-,-,-,27.8,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69855405,20170224,19:24:15,-,68,1060,13.69,-,148.0,148.0,147.0,143.0,154.0,169.0,1028.0,963.0,1015.0,943.0,1145.0,1085.0,0.0,2.5,0.1,57.4,-,-,-,-,-,-,27.8,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69859365,20170224,19:24:19,-,68,1060,13.69,-,150.0,150.0,149.0,145.0,156.0,171.0,1028.0,967.0,1009.0,945.0,1133.0,1085.0,0.0,2.5,0.1,57.4,-,-,-,-,-,-,27.8,-,27.2,-,-,-,-,-,-,-,-,-,-,-
69863325,20170224,19:24:23,-,67,1010,14.10,-,152.0,152.0,152.0,147.0,158.0,173.0,1047.0,968.0,1025.0,943.0,1143.0,1072.0,0.0,2.4,0.1,57.4,-,-,-,-,-,-,27.7,-,27.2,-,-,-,-,-,-,-,-,-,-,-
