Systime,Date,Time,NormAcc (G),LongAcc (G),LateralAcc (G),ADAHRSUsed,AHRSStatusbits         ,Heading (°M),Pitch (°),Roll (°),FlightDirectorPitch (°),FlightDirectorRoll (°),HeadingRate (°/sec),PressureAltitude (ft),IndicatedAirspeed (kts),TrueAirspeed (kts),VerticalSpeed (ft/min),GPSLatitude        ,GPSLongitude       ,BodyYawRate (°/sec),BodyPitchRate (°/sec),BodyRollRate (°/sec),MagStatus,IRUStatus,MPUStatus,ADCStatus,AHRSSeq,ADCSeq,AHRSStartupMode,DFC100 Lat Active,DFC100 Lat Armed,DFC100 Vert Active,DFC100 Vert Armed,DFC100 Status Flags,DFC100 Fail Flags,DFC100 Alt Target
69732254,20170224,19:22:12,<<<< **** POWER ON **** >>>>
69732645,20170224,19:22:12,-1.005,0.000,0.001,1,0x6,-171.7,-0.5,0.0,-,-,0.00,174,0,2,-31,-,-,0.0,0.0,0.0,0x0,0x0,0x1,0x0,231,31,3,-,-,-,-,-,-,-
69732909,20170224,19:22:12,-1.008,-0.020,0.001,1,0x6,-171.7,-0.5,0.0,-,-,0.00,174,0,2,-15,-,-,0.1,0.1,-0.1,0x0,0x0,0x1,0x0,244,35,3,-,-,-,-,-,-,-
69733173,20170224,19:22:13,-1.008,-0.006,0.000,1,0x6,-171.7,-0.5,0.0,-,-,0.00,174,0,2,-17,-,-,0.0,0.0,0.0,0x0,0x0,0x1,0x0,253,37,3,-,-,-,-,-,-,-
69733437,20170224,19:22:13,-1.008,-0.017,0.001,1,0x6,-171.7,-0.5,0.0,-,-,0.00,175,0,2,-8,-,-,0.0,0.0,0.0,0x0,0x0,0x1,0x0,7,39,3,-,-,-,-,-,-,-
69733701,20170224,19:22:13,-1.000,-0.006,0.001,1,0x6,-171.7,-0.5,0.0,-,-,0.00,175,0,2,-8,-,-,0.0,0.2,0.0,0x0,0x0,0x1,0x0,15,41,3,-,-,-,-,-,-,-
69733965,20170224,19:22:13,-1.008,-0.012,0.001,1,0x6,-171.7,-0.5,0.0,-,-,0.00,175,0,2,-1,-,-,0.0,0.0,0.0,0x0,0x0,0x1,0x0,25,44,3,-,-,-,-,-,-,-
69734229,20170224,19:22:14,-1.008,-0.003,0.000,1,0x6,-171.7,-0.5,0.0,-,-,0.00,174,0,2,-8,-,-,0.0,0.2,-0.1,0x0,0x0,0x1,0x0,34,46,3,-,-,-,-,-,-,-
69734493,20170224,19:22:14,-1.014,-0.006,0.001,1,0x6,-171.7,-0.5,0.0,-,-,0.00,175,0,2,8,-,-,0.0,0.0,0.0,0x0,0x0,0x1,0x0,43,48,3,-,-,-,-,-,-,-
69734757,20170224,19:22:14,-1.011,-0.009,0.001,1,0x6,-171.7,-0.5,0.0,-,-,0.00,175,0,2,20,-,-,0.0,0.1,-0.1,0x0,0x0,0x1,0x0,53,50,3,-,-,-,-,-,-,-
69735021,20170224,19:22:15,-1.008,-0.006,0.001,1,0x6,-171.7,-0.5,0.0,-,-,0.00,175,0,2,5,-,-,0.0,0.0,0.0,0x0,0x0,0x1,0x0,62,52,3,-,-,-,-,-,-,-
69735285,20170224,19:22:15,-1.008,-0.009,0.001,1,0x6,-171.7,-0.5,0.0,-,-,0.00,175,0,2,-2,-,-,0.0,0.0,0.0,0x0,0x0,0x1,0x0,71,55,3,-,-,-,-,-,-,-
