Systime,Date,Time,OutsideAirTemperature (°C),LocalizerDeviation (-1..1),GlideslopeDeviation (-1..1),FlightDirectorOn_Off,AutopilotMode,GroundSpeed (kts),GroundTrack (°M),CrossTrackDeviation (nm),VerticalDeviation (ft),AltimeterSetting (in.hg),AltBug (ft),VSIBug (ft/min),HdgBug (°),DisplayMode,NavigationMode,ActiveWptId,GPSSelect    ,NavaidBrg (°M),OBS (°M),DesiredTrack (°M),NavFreq (kHz),CrsSelect    ,NavType      ,CourseDeviation (°),GPSAltitude (m),DistanceToActiveWpt (nm),GPSState,GPSHorizProtLimit (m),GPSVertProtLimit (m),HPL_SBAS (m),VPL_SBAS (m),HFOM (m),VFOM (m),FmsCourse (°M),MagVar (° -W/+E),GPS MSL Altitude (m),GPS AGL Height (m),FLTA RTC (m),FLTA ATC (m),FLTA vspd (fpm),FLTA RTC dist (m),FLTA terr dist (m),FLTA Status
69732254,20170224,19:22:12,<<<< **** POWER ON **** >>>>
69732645,20170224,19:22:12,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69733437,20170224,19:22:13,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69734229,20170224,19:22:14,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69735021,20170224,19:22:15,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69735813,20170224,19:22:15,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69736605,20170224,19:22:16,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69737397,20170224,19:22:17,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69738189,20170224,19:22:18,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69738981,20170224,19:22:18,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69739773,20170224,19:22:19,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69740565,20170224,19:22:20,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69741357,20170224,19:22:21,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69742149,20170224,19:22:22,-,-,-,-,-,-,-,-,-,30.13,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69742941,20170224,19:22:22,12,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,-,-,-,0,0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,-,0,0,0,0,0,0,0,0x2
69743733,20170224,19:22:23,12,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,-,-,-,0,1,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,-,0,0,0,0,0,0,0,0x2
69744525,20170224,19:22:24,12,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0x2
69745317,20170224,19:22:25,12,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0x2
69746109,20170224,19:22:26,12,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0x2
69746901,20170224,19:22:26,12,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0x2
69747693,20170224,19:22:27,13,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0x2
69748485,20170224,19:22:28,13,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0x2
69749277,20170224,19:22:29,13,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0x2
69750069,20170224,19:22:30,13,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,137,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0x2
69750861,20170224,19:22:30,13,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,121,0.0,3,29.3,31.6,0.0,0.0,14.7,18.5,0,0.0,0,0,0,0,0,0,0,0x2
69751653,20170224,19:22:31,13,0.000,0.000,0,-,0,0,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,0.0,0,0,0,0,0,0,0,0x2
69752445,20170224,19:22:32,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,114,0,0,0,0,0,0,0x2
69753237,20170224,19:22:33,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,114,0,0,0,0,0,0,0x2
69754029,20170224,19:22:34,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,-3,0,0,-1,0,0,0x3
69754821,20170224,19:22:34,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,-3,0,0,-1,0,0,0x3
69755613,20170224,19:22:35,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,-3,0,0,-1,0,0,0x3
69756405,20170224,19:22:36,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,-3,0,0,0,0,0,0x3
69757197,20170224,19:22:37,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,-3,0,0,-1,0,0,0x3
69757989,20170224,19:22:37,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,122,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,-3,0,0,0,0,0,0x3
69758781,20170224,19:22:38,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,122,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,-3,0,0,0,0,0,0x3
69759573,20170224,19:22:39,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,0,,1,0,360,0,117100,0,1,0,122,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,-3,0,0,0,0,0,0x3
69760365,20170224,19:22:40,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,122,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,-3,0,0,0,0,0,0x3
69761157,20170224,19:22:41,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,122,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,0,0,0,0,0,0,0x3
69761949,20170224,19:22:41,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,122,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,0,0,0,0,0,0,0x3
69762741,20170224,19:22:42,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,122,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,0,0,0,0,0,0,0x3
69763533,20170224,19:22:43,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,122,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,0,0,0,0,0,0,0x3
69764325,20170224,19:22:44,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,122,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,0,0,0,0,0,0,0x3
